#Step:       Beta:       mu:       sigma:
493             70.2189           -0.790586            0.587315
494             70.9282            -0.81898             0.59211
495             71.6447           -0.787523            0.600048
496             72.3684           -0.762454            0.610207
497             73.0993           -0.751255            0.682358
498             73.8377           -0.842954            0.656655
499             74.5836           -0.826762            0.605867
500             75.3369           -0.845405            0.577202
501             76.0979           -0.884056            0.612825
502             76.8666           -0.862872            0.575654
503              77.643           -0.869177            0.607354
504             78.4273           -0.840501            0.596585
505             79.2195           -0.798952            0.621328
506             80.0197           -0.821715            0.618409
507             80.8279           -0.780379            0.646775
508             81.6444           -0.812081            0.629785
509             82.4691           -0.848527            0.603749
510             83.3021           -0.744409            0.710191
511             84.1435           -0.737395            0.598558
512             84.9935           -0.838941            0.589396
513              85.852            -0.86997            0.619512
514             86.7192           -0.816905            0.616816
515             87.5951           -0.797391            0.646866
516             88.4799           -0.745871            0.595453
517             89.3737           -0.798519            0.612934
518             90.2764           -0.834993            0.575253
519             91.1883           -0.792431            0.618676
520             92.1094           -0.782323            0.637832
521             93.0398           -0.807241              0.6249
522             93.9796           -0.778458            0.606632
523             94.9289            -0.76998            0.627166
524             95.8878           -0.742755            0.621535
525             96.8563           -0.819366            0.659774
526             97.8347           -0.768271            0.624299
527             98.8229           -0.806501            0.639421
528             99.8211           -0.802589            0.596878
