#Step:       Beta:       E_tot:       Err:
345             15.8658           -0.388662           0.0053171
346             16.0261           -0.368228          0.00299701
347              16.188           -0.243824          0.00543119
348             16.3515           -0.258127          0.00656915
349             16.5167           -0.442757          0.00243805
350             16.6835           -0.430657          0.00226577
351              16.852           -0.387497          0.00437455
352             17.0222           -0.425548          0.00276041
353             17.1942           -0.402164          0.00296922
354             17.3679           -0.410539          0.00324025
355             17.5433           -0.423646          0.00372114
356             17.7205           -0.373618          0.00305701
357             17.8995           -0.430059           0.0024452
358             18.0803           -0.416431          0.00332903
359             18.2629           -0.401148          0.00382636
360             18.4474           -0.429464          0.00366027
361             18.6337            -0.35984          0.00813065
362              18.822           -0.428076           0.0037378
363             19.0121           -0.325013          0.00586705
364             19.2041           -0.332685          0.00479336
365             19.3981           -0.440541          0.00298318
366              19.594           -0.361824          0.00552374
367              19.792            -0.39309          0.00283045
368             19.9919           -0.434737          0.00286594
369             20.1938           -0.340015          0.00358192
370             20.3978           -0.246935          0.00808616
371             20.6038           -0.298718          0.00798544
372              20.812            -0.43565          0.00307578
373             21.0222           -0.426862          0.00319178
374             21.2345           -0.424242          0.00241729
375              21.449           -0.377215          0.00264247
376             21.6657           -0.440209          0.00262806
377             21.8845           -0.441287          0.00303548
378             22.1056           -0.366554          0.00362005
379             22.3289           -0.444366          0.00214784
380             22.5544           -0.285701          0.00621345
381             22.7822           -0.176858           0.0134935
382             23.0123           -0.237683           0.0112393
383             23.2448           -0.356015          0.00362264
384             23.4796           -0.447296          0.00258029
385             23.7168           -0.418789          0.00293135
386             23.9563           -0.375316          0.00366696
387             24.1983            -0.39312          0.00335026
388             24.4427           -0.382708          0.00296298
389             24.6896           -0.435805          0.00288517
390              24.939           -0.409271          0.00495819
391             25.1909           -0.361206          0.00476277
392             25.4454           -0.430867          0.00348654
393             25.7024           -0.426578          0.00310895
394              25.962             -0.3951          0.00284448
395             26.2243           -0.423453          0.00340763
396             26.4892           -0.403197          0.00497848
397             26.7567           -0.377346          0.00381896
398              27.027           -0.408451          0.00524664
399                27.3           -0.437183          0.00353867
400             27.5758           -0.420816          0.00243804
401             27.8543           -0.422187          0.00382879
402             28.1357            -0.35859          0.00312109
403             28.4198           -0.430461          0.00275854
404             28.7069           -0.437226          0.00267204
405             28.9969           -0.335467          0.00387942
